País,Estado/Región,"C.P./Código Postal","Subtotal del Pedido (y superior)","Precio del envío"
MEX,*,16550,5.0000,2922.0000
MEX,*,16600,6.0000,2922.0000
MEX,*,16604,6.0000,2922.0000
MEX,*,16605,6.0000,2922.0000
MEX,*,16606,6.0000,2922.0000
MEX,*,16607,6.0000,2922.0000
MEX,*,16609,6.0000,2922.0000
MEX,*,16610,6.0000,2922.0000
MEX,*,16614,6.0000,2922.0000
MEX,*,16615,6.0000,2922.0000
MEX,*,16616,6.0000,2922.0000
MEX,*,16617,6.0000,2922.0000
MEX,*,16620,6.0000,2922.0000
MEX,*,16629,6.0000,2922.0000
MEX,*,16630,6.0000,2922.0000
MEX,*,16640,6.0000,2922.0000
MEX,*,16710,7.0000,2922.0000
MEX,*,16720,7.0000,2922.0000
MEX,*,16739,7.0000,2922.0000
MEX,*,16740,7.0000,2922.0000
MEX,*,16749,7.0000,2922.0000
MEX,*,16750,7.0000,2922.0000
MEX,*,16770,7.0000,2922.0000
MEX,*,16776,7.0000,2922.0000
MEX,*,16780,7.0000,2922.0000
MEX,*,16797,7.0000,2922.0000
MEX,*,16799,7.0000,2922.0000
MEX,*,16800,8.0000,2922.0000
MEX,*,16808,8.0000,2922.0000
MEX,*,16809,8.0000,2922.0000
MEX,*,16810,8.0000,2922.0000
MEX,*,16813,8.0000,2922.0000
MEX,*,16819,8.0000,2922.0000
MEX,*,16840,8.0000,2922.0000
MEX,*,16850,8.0000,2922.0000
MEX,*,16860,8.0000,2922.0000
MEX,*,16880,8.0000,2922.0000
MEX,*,16888,8.0000,2922.0000
MEX,*,16889,8.0000,2922.0000
MEX,*,16900,9.0000,2922.0000
MEX,*,16910,9.0000,2922.0000
MEX,*,1700,1.0000,2922.0000
MEX,*,1708,1.0000,2922.0000
MEX,*,1710,1.0000,2922.0000
MEX,*,1720,1.0000,2922.0000
MEX,*,1729,1.0000,2922.0000
MEX,*,1730,1.0000,2922.0000
MEX,*,1740,0.0000,2922.0000
MEX,*,1740,1.0000,2922.0000
MEX,*,1750,2.0000,2922.0000
MEX,*,1759,2.0000,2922.0000
MEX,*,1760,2.0000,2922.0000
MEX,*,1770,2.0000,2922.0000
MEX,*,1780,2.0000,2922.0000
MEX,*,1788,2.0000,2922.0000
MEX,*,1789,2.0000,2922.0000
MEX,*,1790,2.0000,2922.0000
MEX,*,1800,2.0000,2922.0000
MEX,*,1807,2.0000,2922.0000
MEX,*,1810,2.0000,2922.0000
MEX,*,1820,0.0000,2922.0000
MEX,*,1820,3.0000,2922.0000
MEX,*,1830,3.0000,2922.0000
MEX,*,1840,3.0000,2922.0000
MEX,*,1849,3.0000,2922.0000
MEX,*,1856,3.0000,2922.0000
MEX,*,1857,3.0000,2922.0000
