País,Estado/Región,C.P./Código Postal,Subtotal del Pedido (y superior),Precio del envío
MEX,*,16799,0.0000,399.0000
MEX,*,16800,0.0000,399.0000
MEX,*,16808,0.0000,399.0000
MEX,*,16809,0.0000,399.0000
MEX,*,16810,0.0000,399.0000
MEX,*,16813,0.0000,399.0000
MEX,*,16819,0.0000,399.0000
MEX,*,16840,0.0000,399.0000
MEX,*,16850,0.0000,399.0000
MEX,*,16860,0.0000,399.0000
MEX,*,16880,0.0000,399.0000
MEX,*,16888,0.0000,399.0000
MEX,*,16889,0.0000,399.0000
MEX,*,16900,0.0000,399.0000
MEX,*,16910,0.0000,399.0000
MEX,*,01700,0.0000,399.0000
MEX,*,01708,0.0000,399.0000
MEX,*,01710,0.0000,399.0000
MEX,*,01720,0.0000,399.0000
MEX,*,01729,0.0000,399.0000
MEX,*,01730,0.0000,399.0000
MEX,*,01740,0.0000,399.0000
MEX,*,01750,0.0000,399.0000
MEX,*,01759,0.0000,399.0000
MEX,*,01760,0.0000,399.0000
MEX,*,01770,0.0000,399.0000
MEX,*,01780,0.0000,399.0000
MEX,*,01788,0.0000,399.0000
MEX,*,01789,0.0000,399.0000
MEX,*,01790,0.0000,399.0000
MEX,*,01800,0.0000,399.0000
MEX,*,01807,0.0000,399.0000
MEX,*,01810,0.0000,399.0000
MEX,*,01820,0.0000,399.0000
MEX,*,01830,0.0000,399.0000
MEX,*,01840,0.0000,399.0000
MEX,*,01849,0.0000,399.0000
MEX,*,01856,0.0000,399.0000
MEX,*,01857,0.0000,399.0000
MEX,*,01859,0.0000,399.0000
MEX,*,01860,0.0000,399.0000
MEX,*,01863,0.0000,399.0000
MEX,*,01870,0.0000,399.0000
MEX,*,01900,0.0000,399.0000
MEX,*,01904,0.0000,399.0000
MEX,*,01940,0.0000,399.0000
MEX,*,01990,0.0000,399.0000
MEX,*,02000,0.0000,399.0000
MEX,*,20000,0.0000,599.0000
MEX,*,20010,0.0000,599.0000
MEX,*,20016,0.0000,599.0000
MEX,*,20018,0.0000,599.0000
MEX,*,20020,0.0000,599.0000
MEX,*,20029,0.0000,599.0000
MEX,*,20030,0.0000,599.0000
MEX,*,20040,0.0000,599.0000
MEX,*,20049,0.0000,599.0000
